form_code,item_code,section,name,rows_count,std_key_suggest
0409802,10.1A,A,гудвил,69,
0409802,10.2A,A,нематериальные активы (за исключением прав на обслуживание ипотечных кредитов),78,
0409802,10.3A,A,права на обслуживание ипотечных кредитов,69,
0409802,10A,A,"Гудвил и нематериальные активы, в том числе:",78,
0409802,11.1.1A,A,отложенные налоговые активы по вычитаемым временным разницам,78,
0409802,11.1.2A,A,отложенные налоговые активы по перенесенным на будущее убыткам,74,
0409802,11.1A,A,"отложенные налоговые активы, в том числе:",78,
0409802,11A,A,"Налоговые активы, в том числе:",78,
0409802,13A,A,"Активы выбывающих групп, предназначенные для продажи",76,
0409802,14A,A,Всего активов,80,
0409802,15.1P,P,"кредиты, депозиты и прочие средства центральных банков",69,
0409802,15.2P,P,"кредиты, депозиты и прочие средства Центрального банка Российской Федерации",77,
0409802,15.3P,P,средства кредитных организаций,78,
0409802,15.4P,P,"средства клиентов, не являющихся кредитными организациями",78,
0409802,15.5P,P,средства физических лиц,78,
0409802,15.6P,P,выпущенные долговые ценные бумаги,78,
0409802,15P,P,"Финансовые обязательства, оцениваемые по амортизированной стоимости, в том числе:",78,
0409802,16.1P,P,"средства клиентов, не являющихся кредитными организациями",69,
0409802,16.2P,P,средства физических лиц,69,
0409802,16.3P,P,средства кредитных организаций,71,
0409802,16.4P,P,выпущенные долговые ценные бумаги,71,
0409802,16.5P,P,производные финансовые инструменты,70,
0409802,16P,P,"Финансовые обязательства, оцениваемые по справедливой стоимости через прибыль или убыток, в том числе:",76,
0409802,17.1P,P,отложенные налоговые обязательства,76,
0409802,17.2P,P,"отложенные налоговые обязательства, связанные с возникновением гудвила",69,
0409802,17.3P,P,"отложенные налоговые обязательства, связанные с  признанием нематериальных активов (за исключением прав на обслуживание ипотечных кредитов)",69,
0409802,17.4P,P,"отложенные налоговые обязательства, связанные с  признанием прав на обслуживание ипотечных кредитов",69,
0409802,17P,P,"Налоговые обязательства, в том числе:",78,
0409802,18P,P,"Обязательства, связанные с выбывающими группами, предназначенными для продажи",69,
0409802,1A,A,"Фактически сформированные резервы на возможные потери, всего, в том числе:",76,
0409802,2.1.1A,A,обязательные резервы,78,
0409802,2.1A,A,долговые ценные бумаги,78,
0409802,21P,P,Всего обязательств,80,
0409802,22,,"Средства акционеров (участников), в том числе включенные:",78,
0409802,22.1,,в базовый капитал,78,
0409802,22.2,,в добавочный капитал,71,
0409802,23,,Эмиссионный доход,75,
0409802,25,,"Переоценка финансовых активов, оцениваемых по справедливой стоимости через прочий совокупный доход",78,
0409802,26,,Переоценка основных средств и нематериальных активов,76,
0409802,27,,Переоценка активов и обязательств участников группы - нерезидентов,69,
0409802,28,,"Переоценка активов групп выбытия, предназначенных для продажи",69,
0409802,29,,"Изменение стоимости финансового обязательства, оцениваемого по справедливой стоимости через прибыль или убыток, обусловленное изменением кредитного риска",69,
0409802,2A,A,Восстановление (уменьшение) резерва на возможные потери в связи со списанием безнадежных ссуд,78,
0409802,31,,"Прочие компоненты в составе капитала, в том числе:",78,
0409802,31.1,,оценочные резервы под ожидаемые кредитные убытки,75,
0409802,31.2,,"финансовые инструменты, включенные в компоненты капитала",73,
0409802,32,,"Прибыль (убыток), в том числе:",78,
0409802,32.1,,прибыль (убыток) за отчетный период,78,
0409802,33,,Доля малых акционеров (участников) в составе капитала,70,
0409802,34,,Всего источников собственных средств группы и малых акционеров (участников),80,
0409802,3A,A,"Финансовые активы, оцениваемые по справедливой стоимости через прибыль или убыток, в том числе:",78,
0409802,4.1.1A,A,кредиты (займы) кредитным организациям,78,
0409802,4.1.2A,A,"кредиты (займы) юридическим лицам, не являющимся кредитными организациями, и физическим лицам",78,
0409802,4.1A,A,"кредиты (займы) и дебиторская задолженность, в том числе:",78,
0409802,4.2A,A,долговые ценные бумаги,78,
0409802,4A,A,Финансовые обязательства,78,
0409802,5.1.1A,A,векселя,69,
0409802,5.1A,A,"долговые ценные бумаги, в том числе:",78,
0409802,5.2A,A,долевые ценные бумаги,76,
0409802,5.3A,A,кредиты (займы),69,
0409802,5A,A,Прочие активы,78,
0409802,6.1.1A,A,"долговые ценные бумаги, переданные без прекращения признания",73,
0409802,6.1A,A,"долговые ценные бумаги, в том числе:",76,
0409802,6.2.1A,A,"долевые ценные бумаги, переданные без прекращения признания",69,
0409802,6.2A,A,"долевые ценные бумаги, в том числе:",72,
0409802,6.3A,A,кредиты (займы),69,
0409802,6.4A,A,производные финансовые инструменты,72,
0409802,6A,A,Прочие обязательства,76,
0409802,8A,A,"Инвестиции, учитываемые по методу долевого участия",32,
0409802,9.1A,A,инвестиционное имущество,73,
0409802,9A,A,"Основные средства и материальные запасы, в том числе:",78,
